,lines,character
240,no penny while i subscribe to the many worlds theory which posits the existence of an infinite number of sheldons in an infinite number of universes i assure you that in none of them am i dancing the math would suggest that in a few i’m a clown made of candy but i don’t dance it’s oatmeal day dear lord are you still going to be here on french toast day look leonard penny made french toast it’s an ical download she can put it right in her phone and i thought we agreed that you’d have your conjugal visits in her apartment i see did her abysmal housekeeping skills finally trump her perkiness that doesn’t seem likely her bed’s of sturdy construction even the addition i want oatmeal i’m sure that will happen soon enough but in the meantime i still want oatmeal i can’t be impossible i exist i believe what you meant to say is “i give up he’s improbable” what am i supposed to do eat french toast on a monday now that would be impossible you can catch even more flies with manure what’s your point boy that does smell good too bad it’s monday easily calculable we begin by identifying the set of married couples with unisex names we then eliminate those unqualified for restaurant work the aged the imprisoned and the limbless for example next we look at… i’m sorry ooh penny it’s as if the cheesecake factory is run by witches well thank you how thoughtful would you like a chocolate you said be nice to penny i believe offering chocolate to someone falls within the definition of nice there are more things in heaven and earth horatio than are dreamt of in your philosophy you know i’ve always wanted to go to a goth nighclub bazinga none of you ever see my practical jokes coming do you did you i didn’t notice have a chocolate and it’s not a cartoon it’s anime you’re here a lot now thank you chocolate really very good chocolate actually it turns out i can there’s just no pleasing you is there leonard you weren’t happy with my previous approach to dealing with her so i decided to employ operant conditioning techniques building on the work of thorndike and bf skinner by this time next week i believe i can have her jumping out of a pool balancing a beach ball on her nose i’m not suggesting we really make her jump out of a pool i thought the “bazinga” was implied i’m just tweaking her personality sanding off the rough edges if you will are you saying that i’m forbidden from applying a harmless scientifically valid protocol that will make our lives better bad leonard obviously waitressing at the cheesecake factory is a complex socioeconomic activity that requires a great deal of analysis and planning bazinga you know using positive reinforcement techniques i could train that behaviour out of her in a week if you let me use negative reinforcement i can get it done before we go to bed no of course not we’re talking very mild electric shocks no tissue damage whatsoever oh come on you can’t tell me that you’re not intrigued about the possibility of building a better girlfriend you mean like that highpitched irritating laugh no that would be incongruous i was going to lower the whole voice to a more pleasing register come again freaky have a chocolate well i’m going to make some warm milk and then turn in i trust if you two are planning in engaging in amorous activites you’ll keep the decibel level to a minimum thank you throws a chocolate penny catches it in her mouth interesting sex works even better than chocolate to modify behaviour i wonder if anyone else has stumbled on to that,Sheldon
241,this movie baffles me every time we watch it well the instructions are very clear don’t feed the gremlins after midnight don’t get the gremlins wet how hard is that yes since their relationship became carnal penny has upgraded his designated term of endearment thus distinguishing him from those she calls sweetie usually in an attempt to soften a thinlyveiled insult although sometimes she omits the veil entirely the parade will you be serving cranberry jelly or cranberry sauce you guess you don’t seem to have much of a handle on this i believe it means that the us government is going to expel him from the country he could then either return to his native india emigrate to another country that’s willing to accept him or wander the high seas as a stateless pirate personally i’d choose pirate another reason to consider a life of piracy even today i understand that’s an allmale profession and you’ve continued to take the university’s money under false pretences highly unethical for an astrophysicist although practically mandatory for a pirate hi leonard hello raj forgive me as you know i’m no adept at reading facial cues but i’m going to take a stab here you’re either sad or nauseated i was going to say sad i don’t know why i hedged elbow macaroni with ground hamburger and tomato sauce not technically in hinduism cattle are thought to be like god i’m sorry understandable your entire life seems to be crumbling around you and your future appears bleak at best and you’re wrong about hinduism and cows that’s happy right nailed it gentlemen raj did you get the job with professor laughlin i assumed as much but never fear like the subordinate male protagonist in countless action movies who disappears half way through the second reel i have returned to save the day odd usually he’s met by cheers anyway i was thinking about exploring the string theory implications of gamma rays from dark matter annihilations and it occurred to me that i could benefit… i’m sorry if you didn’t cheer at my entrance it’s too late to buy into the premise anyway i got some extra money from the head of the department and raj can come work for me for me you’re going to have to listen more carefully when you’re on the job for me of course i’m busy yes please after about seconds how may i help you for me i’m impressed raj those are very cogent and reasonable conditions i reject them all i’m sorry i believe you’ve misunderstood i’m not giving you the job i’m simply affording you the opportunity to apply for it have a seat we’ll get started with the interview please so that’s what you wear to an interview oh pulling strings are we bazinga you’ve fallen victim to another one of my classic practical jokes i’m your boss now you may want to laugh at that all right we’re going to be designing an experiment to look for the annihilation spectrum resulting from dark matter collisions in space i’m the boss i make the jokes this is not the time for joking we’re doing serious research which requires complete and utter focus what top desk drawer alright good of course i understand and who are you to tell me about outer space astro means star english is your native language there is a fine line between wrong and visionary unfortunately you have to be a visionary to see it caca all right first of all dr koothrappali when i first proposed that you work with me… in this context with me means for me oh if i’m wrong prove it no no no you’ve misstated the atomic weight of the target you’re defacing my work give me the eraser i said give it to me fine uses hand as an eraser then realises his hand is dirty oh lord dr koothrappali as your superior i forbid you from writing on my board i am in every way knock knock knock raj knock knock knock raj knock knock knock raj doing what performs finger trick again all right you’ve made your point i looked over the board and it turns out you were right i didn’t say that nevertheless i didn’t say it anyway i would like you to come back and work for me in this context for me could mean with me i reject them all wait you have to drive me home i walked i can’t there’s a big dog outside on the way home we can start thinking about methods of optimizing the detector for gev particles,Sheldon
242,it doesn’t matter you can’t possibly win given the cards that have already been played penny can only be holding necromancer potions which are only effective against wraiths and daywalkers and there are no more of either left to be drawn the cards remaining in the undrawn stack are four fire weapons a troll two ogres and the jewel of osiris from your vantage point it certainly must seem so photographic is a misnomer i have an eidetic memory as i’ve told you many times most recently last year during lunch on the afternoon of may seventh you had turkey and complained it was dry june th opening day of spiderman at the amc pasadena they only had red icees no blue you had left the refreshment stand in order to indulge in your customary preemptive preshow urination i’m sorry no yes i’ve moved to a fournapkin system lap hands face and personal emergencies if you like starting tomorrow i’ll add a guest napkin but i’m afraid there’s nothing i can do for you today leonard steals a napkin good luck that’s the face napkin i’d imagine you heard any number of things today when you arrived at work you undoubtedly heard hello raj how are you raj given that you’re wearing a new sweatervest you may have heard new sweatervest and possibly though far less likely nice sweatervest that would probably save us some time i’m sorry raj but i have no interest in playing a game in which i find no challenge i have money how does it different from the money i have do you need it to buy a less disturbing sweatervest got it got it got it got it got it got it betty and veronica ugh thank you you just robbed me of the opportunity to stumble upon the figurine and make the ohsosatisfying journey from discovery to desire to possession but i must have it thank you you know i can buy all these things online i come here for the personal service you don’t understand growing up i idolized wil wheaton wesley crusher had an eidetic memory just like me i was such a fan that in i travelled ten hours by bus to a scifi convention in jackson mississippi wearing my star fleet academy cadet uniform in order to meet wil wheaton and get him to autograph my mint inpackage wesley crusher action figure my arduous journey however was for naught although advertised to appear he did not show up it was at that moment i vowed eternal hatred for wil wheaton it might also interest you to know that wil wheaton currently ranks sixth on my alltime enemies list right between director joel schumacher who nearly destroyed the batman movie franchise and billy sparks who lived down the street from me and put dog poop on the handles of my bicycle in the words of khan noonien singh in the immortal wrath of khan he tasks me he tasks me and i shall have him from hell’s heart i stab at thee my enchanted troll bludgeons your screaming harpy with a cursed mace game look at him wil wheaton my old friend i have chased you round the moons of nibia and round the antares maelstrom and round perdition’s flames silence how much longer must i wait for my revenge so my path to satisfaction is blocked by lonely larry and captain sweatpants very well they must be destroyed silence i play my endless serpent raj will play ecstatic frenzy which means larry will have to play chaos overlord then captain sweatpants molten river i play nightshade dryad game set and match now fetch me wil wheaton bortas bir jablu’di’ reh qaqqu’ nay’ underworld guardian we skirmish to the death luminescence spell fire demon threeheaded lion brimstone you’re holding two moderate spell cards a small rock and a potion of zancor which will be about as much help as an air conditioner on the ice planet hoth your only move is to play the potion lose the skirmish and two moves later the game the year was the place jackson mississippi having spent ten hours on a bus during which i had to twice violate my personal rule against relieving myself on board a moving vehicle i finally arrived at the fourth annual dixietrek convention only to find that my idol wil wheaton decided he had better things to do than to show up and sign my action figure you betrayed me wil wheaton now i have my revenge your meemaw died that’s terrible no no i understand anything happened to my meemaw i’d be one inconsolable moon pie i should clarify that statement by explaining that she calls me moon pie oh yes i can’t no i came here to defeat wil wheaton the man who destroyed my dreams but i can’t defeat wil wheaton the man who loved his meemaw enchanted bunny i… i… i don’t understand your grandmother’s alive wheaton wheaton wheaton,Sheldon
243,excuse me you’re misusing the word ho it’s an interjection used to call attention to a destination not an object as in uh land ho or uh westward ho well actually the risk of throat cutting is very low on the other hand severe string burn is a real and everpresent danger i’m sorry i got bored and drifted off where exactly in the interaction did the sucking lie oh that certainly would suck wolowitz is trying to outflank us let out some string add altitude and i’ll go under and cut his line focus leonard focus the heat of battle is upon us the dogs of war are unleashed you’re embarrassing me right now a grown man worrying about such nonsense when in the middle of flying kites sorry won’t bring their kites down ow string burn string burn victory well her actions could be out of concern for your feelings perhaps she’s excluded you from these gatherings because she’s scouting for a new mate and doesn’t want to do it in front of you agreed most primates don’t show that sort of discretion a female bonobo will copulate with a new male in front of the old one without so much as a how do you do i’m sorry raj but the rules of aerial warfare dictate at the fallen kite go to the victor and without rules the competition has no meaning and without meaning the following would be an empty gesture sings i have your kite i have your kite it’s football nomenclature for when a quarterback is tackled behind the line of scrimmage the line of scrimmage is the imaginary transverse line separating the offence from the defence i grew up in texas football is ubiquitous in texas pro football college football high school football peewee football in fact every form of football except the original european football which most texans believe to be a commie plot if you’re interested i also know all about frying meat that isn’t chicken as if it were chicken football or chickenfried meats if you want to blend in with penny’s friends i’d think looking like an idiot would be the perfect camouflage that’s exactly what my father said come to the games watch the games week in and week out from the time i was five until i went off to college longest seven years of my life are you making this a tier one friendship request fine yeah yeah all right poindexter sit down shut up and listen that’s how my father always began our football conversations and if you’d like after the game i’ll take you outside and teach you how to shoot close enough to a racoon that it craps itself when i have enough to destroy all the human toast on the battlestar known as galactica is that what you’re wearing to watch football at penny’s nothing that however appears to be a football cocktail dress oh yes canine football fans are a common sight in texas cats however refuse to wear sporting apparel my sister found that out the hard way leonard wait am i correct in assuming that your attempt to be accepted by penny’s peers is based on your desire to ensure your continuing mating privileges with her how would you put it huh seems like an awful lot of trouble to go through for intercourse don’t you have access to women who will do it for money by the way another accepted usage for the term ho hold on i believe that social convention dictate you not arrive emptyhanded would you like to bring some cylon toast what’s funny about cylon toast knock knock knock penny knock knock knock penny knock knock knock penny thank you i’d like to make a sandwich but i’m out of bread you shouldn’t keep your bread in the refrigerator staleness is caused by crystallization of the starch molecules which occurs faster at cool temperatures so leonard how goes the mimesis you know mimesis an action in which the mimic takes on the properties of a specific object or organism mimesis i’m attempting to communicate with you without my meaning becoming apparent to those around you let me try again have the indigenous fauna accepted you as one of their own nudge nudge wink wink good oh fyi after i eat my sandwich i’m taking koothrappali’s patang kite out for a test run would you like to get your deltawing raptor and join me i can see that i was providing you with an alternative a courtesy i was never offered in similar circumstances,Sheldon
244,oh research lab is more than a game it’s like the slogan says the physics is theoretical but the fun is real oh great roll now you can demolish your sovietstyle cyclotron and build the large hadron collider you’re a natural at this penny and as the first beta testers you two’ll have quite the edge when we play with wolowitz and koothrappali on sunday why not pay attention leonard that’s why she can’t play on sunday your turn leonard roll the dice leonard come on leonard if you roll a six penny dies horribly in a nuclear meltdown see what i mean when i say the fun is real i’ll just roll for you uhoh industrial accident you accidentally stare at a heliumargon laser lose one turn and a retina it’s also your roll has your relationship reached its inevitable ugly end look on the bright side as the result of penny’s forfeit you have become the world’s first winner of research lab would you like a commemorative snow cone hey i thought of a game we can play in the car it’s called scientists now i will name three scientists then you will put them in order of the size of their contribution to their respective fields to make this game even more compelling you must consider only the contribution of the man to the field not the validity of the field itself for example abu musa jabir ibn hayn made a greater contribution to the discredited field of alchemy than halbert vanderplatt made to neurobiology okay ready to have some fun all right i’ll start with an easy one um isaac newton madame curie and niels bohr hint madame curie had her husband to help her leonard stop the car i can’t listen to the two of you fight anymore come on come on we’re late i believe my alarm is appropriate given the situation the movie starts in minutes which means we’ll need to make all the lights on colorado boulevard plus skip the concession stand and preshow urination go go power rangers go no we’re not we’re standing in the hallway suffering through an awkward encounter all right invitation pointlessly offered invitation declined as expected everyone’s civil nobody’s fighting have a nice evening leonard when that woman moved in three years ago i told you not to talk to her and now look we’re going to be late for the movies got it stop it both of you all this fighting i might as well be back with my parents damn it george i told you if you didn’t quit drinkin’ i’d leave you well i guess that makes you a liar ’cause i’m drunk as hell and you’re still here stop yelling you’re making sheldon cry i’ll tell you what’s making sheldon cry that i let you name him sheldon this is a restaurant it’s lunchtime i would think as a waitress you’d be familiar with the paradigm no i believe leonard is waiting for you to come crawling back to him and apologize i assumed that would be your attitude hence my true purpose in coming here i want you to crawl back to him and apologize excuse me miss i’d like to order lunch i have a few questions first i notice that you offer soup and a halfsandwich where exactly does the halfsandwich come from are you giving me half of someone else’s sandwich or do i have to wait for someone else in the restaurant to order the other half you can’t make a halfsandwich if it’s not half of a whole sandwich it’s just a small sandwich of course not i’ll have my usual aren’t you going to ask me if i want a beverage yes yes yes i want you to apologize to leonard irrelevant the disruption in your relationship is making my life intolerable i don’t follow all right let’s assume ad argumentum that in this case leonard is wrong considering the number of transgressions you’ve committed that he’s overlooked don’t you think that just this once you could return the favour were you under the impression that leonard has no complaints about you your driving the plethora of stuffed animals on your bed that stare at him during your amorous activities your constant tardiness your singing that’s actually from my list but leonard would be a fool if he didn’t agree with it because according to him you’re oversensitive and have a temper and she wonders why she’s constantly undertipped oh good you’re home i need you to do me a favour go apologize to penny right now would be good although a few minutes ago would have been better knock knock knock raj knock knock knock raj knock knock knock raj don’t flatter yourself i’m just ignoring you i’ve heard that before but then the next thing you know i’m hiding in my bedroom blaring a richard feinman lecture while my mom is shouting that jesus would forgive her if she put ground glass in my dad’s meatloaf and my dad’s on the roof skeetshooting her franklin mint collectible plates really where’s your friend justin going to sleep i want that one can i get this comic book too i should have asked for much more than a comic book and a robot,Sheldon
245,sheldon’s log stardate while my colleagues are off observing the leonid meteor shower i have remained behind to complete my paper on the decays of highly excited massive string states although my research is going well i do miss the warmth of human companionship he laughs and good evening to you siam palace this is sheldon cooper yeah i’m going to be dining alone this evening so i’ll be reducing my usual order i’d like to start with one quarter of the assorted appetizers plate and uh one half of the golden treasure for two oh for heaven’s sake in the midth century king rama iv of siam divided a huge empire amongst the colonial powers of europe in order to preserve his throne surely you his cultural descendant can handle pad thai and dumplings i need to go but you keep in mind that my sharply worded comments on yelpcom recently took down a local muffin store at penny’s door knock knock knock penny knock knock knock penny knock knock knock penny penny at penny’s bedroom door knock knock knock penny knock knock knock penny knock knock knock penny shall i come back at a better time hello not surprising you have no safety mat or adhesive stickers to allow for purchase on a surface with a low coefficient of static friction tubs are slippery i have a series of whimsical duck stickers on the bottom of my tub they’re holding umbrellas the ducks in my tub they’re whimsical because ducks have neither the need for nor the ability to use umbrellas well assuming you’re correct that your right humerus is no longer seated in the glenoid socket i would certainly think so i don’t drive well it seems we’ve reached an impasse but i could call you a cab or an ambulance all right let it never be said that sheldon lee cooper ignored the pleas of a damsel in distress well it does seem rather ironic that for want of cent adhesive ducks we both might die in a fiery car crash i see no organizational system in here whatsoever which panties do you wear on mondays my mother always told me one should wear clean underpants in case one is in an accident that doesn’t mean one won’t be in another especially if i’m driving okay here all right we should have you checked for a concussion all right don’t look oh well that’s understandable you may be interested to know that a prohibition against looking is well established in heroic mythology uh lot and his wife perseus and medusa orpheus and eurydice they always look it never ends well ok it doesn’t feel like an arm all righty for the record i should let you know this is my first time driving an actual motor vehicle yes and i have logged a considerable number of hours on a simulator didn’t work out well one moment according to my driver’s ed book a side mirror is properly adjusted when a portion of the is driver’s door handle is visible in the lower right corner there’s the handle oh no too far bringing it back optimized now where is the switch to adjust the passenger side mirror where is the passenger side mirror yes as soon as i adjust my seat whee oh dear i’m going to have to start again oh i think we’re going sufficiently fast what’s that that can’t be nothing the check engine light is on we need to find a service station all the more reason to consult with a mechanic before it explodes mr spock did not pilot the enterprise he was the science officer and i guarantee you that if he ever saw the enterprise’s check engine light blinking he would pull the ship over immediately oh oh red light release accelerator and slowly apply the brake nailed it while we have a moment may i ask you a question why do you have the chinese character for soup tattooed on your right buttock no it isn’t but i suppose it does take courage to demonstrate that kind of commitment to soup sorry as i told you the hero always peeks all right there’s no need to bark at me according to the inexplicably irritable nurse behind the desk you’ll be seen after the man who claims to be having a heart attack but appears to be well enough to play doodle jump on his iphone we have to fill these out describe illness or injury all right and how did the accident occur cause of accident lack of adhesive ducks okay medical history have you ever been diagnosed with diabetes kidney disease migraines are you currently pregnant are you sure you look a bit puffy when was your last menstrual period i’ll put in progress okay moving to psychiatric disorders list all major behavioural diagnoses eg depression anxiety etcetera episodes of sub psychotic rage possible tourette’s all right moles lesions or other skin conditions soup tattoo on right buttock i’m sorry there there everything’s going to be fine sheldon’s here now remember you were given powerful pain medication and a muscle relaxer so uh don’t operate heavy machinery try not to choke on your own drool yes the charm of your drug addled candour knows no bounds that’s a fairly laboured metaphor but i appreciate the sentiment behind it “soft kitty” is for when you’re sick you’re not sick soft kitty warm kitty little ball of fur…,Sheldon
246,i have something to announce but out of respect for convention i will wait for you to finish your current conversation what are you talking about i see now are we talking date the social interaction or date the dried fruit oh good my turn well this is very exciting and i wanted you to be among the first to know… thank you kripke for depriving me of the opportunity to share my news with my friends my thank you was not sincere why are you such a stupid head that is also rhetorical i’m sorry you had to hear that yes they’re interviewing me by phone from my office regarding the recent socalled discovery of magnetic monopoles in spinices it’s pledge week and they’re trying to goose the ratings with a little controversy thank you my mother is very excited she’s convening her bible study group to listen in and then pray for my soul all right these are the talking points for my npr interview tomorrow i need to make sure that they’re simple enough for the less educated in the audience to understand howard look this over and tell me what’s unclear to you yes look this over and tell me what’s unclear to you hello excuse me may i interject biologically speaking howard is perfectly justified in seeking out the optimum mate for the propagation of his genetic line now whether that propagation is in the interest of humanity is of course an entirely different question my pleasure ira of course first consider an ordinary magnet which has the pitch of his voice begins to rise as even the most uneducated in your audience must know two poles pitch rises further a north and south pole if you cut that in half you have two smaller magnets each with its own north and south pole no i hear you fine as i was saying an ordinary magnet has two poles the primary characteristic of a monopole is that it has only one pole hence monopole a requirement for string theory or mtheory if you will is the existence of such monopoles i myself led an expedition to the arctic circle in search of said particles kripke i found the nozzle i’m going to kill you i was humiliated on national radio how do you think i’m doing what do you want it wasn’t funny did you laugh i refuse to sink to his level i never admit defeat however on an unrelated topic i am never getting out of this bed again well i suppose i could poison kripke it’s a simple matter there are several toxic chemicals that’d be untraceable in an autopsy oh how about we put awhoopee cushion on his office chair he’ll sit down it’ll sound like he’s flatulent even though he’s not all right how’s this for revenge a solution of hydrogen peroxide and one of saturated potassium iodide mountain dew ah refreshing now we’re going to combine these chemicals with ordinary dish soap creating a little exothermic release of oxygen yes exactly already taken care of observe this is a live shot of kripke’s lab via a mini webcam i was able to install thanks to a dollar bill discreetly placed in the night janitor’s shirt pocket at the same time i also secured large quantities of these chemicals above the tiles in the drop ceiling you flatter me sir the reaction will be triggered when kripke reaches the center of the room mwah ha ha it may be lowtech but i still maintain the whoopee cushion has comic validity there is no abort i made a booboo all right hello kripke this classic prank comes to you from the malevolent mind of sheldon cooper if you’d like to see the look on your stupid face this video is being instantly uploaded to youtube oh and a hat tip to leonard hofstadter and raj koothrappali for their support and encouragement in this enterprise,Sheldon
247,leonard she’s doing it again no it upsets sheldon when she willynilly takes it from the containers without regard for its equitable distribution this is essentially why you have famine in india leonard hello wait no that’s a false equivalency more does not equal merry if there were people in this apartment right now would we be celebrating no we’d be suffocating don’t sheldon me we ordered for five people not six oh sure and while we’re at it why don’t we put our hands behind our backs have an oldfashioned eating contest perhaps there’s hope for you after all my mother was right hell is real yes leonard’s work is nearly as amazing as third graders growing lima beans in wet paper towels raj whispers to him while i appreciate the oh snap i’m uncomfortable having your moist breath in my ear howard your shoes are delightful where did you get them bazinga i don’t care that’s not fair i got stuck behind a tree just need a little more practice it’s not about shoes is it i don’t think i could go through that again then speak all right to raj go away i agree it’s rude but she asked for privacy a little physics there’s no such thing physics encompasses the entire universe from quantum particles to supernovas from spinning electrons to spinning galaxies why can’t leonard teach you can’t you surprise him in some other way for example i’m sure he’d be delightfully taken aback if you cleaned your apartment penny this would be a massive undertaking and my time is both limited and valuable okay point what sort of foundation do you have did you take any science classes in school the one with the frogs i’m sorry penny i don’t think so interesting i suppose if someone could teach sign language to koko the gorilla i could teach you some rudimentary physics not likely koko learned to understand over words not one of which had anything to do with shoes research journal entry one i’m about to embark on one of the great challenges of my scientific career teaching penny physics i’m calling it project gorilla come in take a seat subject has arrived i’ve extended a friendly casual greeting one moment subject appears wellrested and enthusiastic apparently ignorance is bliss all right let us begin where’s your notebook how are you going to take notes without a notebook how else are you gonna study for the tests tests here it’s collegeruled i hope that’s not too intimidating you’re welcome now introduction to physics what is physics physics comes from the ancient greek word physika it’s at this point that you’ll want to start taking notes physika means the science of natural things and it is there in ancient greece that our story begins hush if you have questions raise your hand it’s a warm summer evening circa bc you’ve finished your shopping at the local market or agora and you look up at the night sky there you notice some of the stars seem to move so you name them planetes or wanderer yes penny this is the beginning of a twenty six hundred year journey we’re going to take together from the ancient greeks through isaac newton to niels bohr to erwin schrodinger to the dutch researchers that leonard is currently ripping off yeah give or take as i was saying it’s a warm summer evening in ancient greece… yes penny can’t you hold it project gorilla entry two i am exhausted now remember newton realized that aristotle was wrong and force was not necessary to maintain motion so let’s plug in our meters per second squared as a and we get force earth gravity equals mass times meters per second per second so we can see that ma equals mg and what do we know from this no fig newtons are named after a small town in massachusetts don’t write that down now if ma equals mg what does that imply how can you not know i just told you have you suffered a recent blow to the head i’m sorry smiling have you suffered a recent blow to the head really of those two explanations which one seems the most likely all right it’s a warm summer evening in ancient greece… okay at what point did you begin to feel lost greece there’s no need to get frustrated people learn at different rates unlike objects falling in a vacuum which… ma equals mg no no oh why are you crying that’s no reason to cry one cries because one is sad for example i cry because others are stupid and it makes me sad all right leonard is attempting to learn why subatomic particles move the way they do it’s not that’s why leonard does it a good question and to answer it we first must ask ourselves what is physics it’s a warm summer evening in ancient greece…,Sheldon
248,tears seem appropriate enlargement of the heart muscle or hypertrophic cardiomyopathy is a serious disease which could lead to congestive heart failure no on the contrary i found the grinch to be a relatable engaging character and i was really with him right up to the point that he succumbed to social convention and returned the presents and saved christmas what a buzz kill that was excuse me but the sun is essential for all life on earth frosty is merely a bit of frozen supernatural ephemera in a stolen hat a crime by the way for which he is never brought to account oh yes we had a tree we had a manger we had an inflatable santa claus with plastic reindeer on the front lawn and to make things even more jolly there were so many blinking lights on the house they induced neighbourhoodwide seizures i do not but if you insist on decorating a spiderinfested fire hazard in my home i would request that you add this you’re kidding right it’s a bust of sir isaac newton wait excuse me but it’s much more christmassy than anything you’ve put on the tree december julian calendar sir isaac newton is born jesus on the other hand was actually born in the summer his birthday was moved to coincide with a traditional pagan holiday that celebrated the winter solstice with lit fires and slaughtered goats which frankly sounds like more fun than hours of church with my mother followed by a fruitcake i sense that’s not sincere although i have no idea why no isaac goes at the top of the tree i understand you dispute newton’s claim that he invented calculus and you want to put gottfried leibniz on the top well perhaps when your mother gets here she’ll talk some sense into you if i can interject here obviously leonard is concerned that his mother won’t approve of you as his mate if i can interject again leonard comes from a remarkably highachieving family who have all chosen highachieving partners he probably feels that it’s doubtful that his mother will be overly impressed with his dating a woman whose most significant achievement is memorizing the cheesecake factory menu leonard i’m no expert on meditation but if you’re trying to calm yourself down i believe the word is om no trouble at all my pleasure for a nonphysicist you have a remarkable grasp of how electric dipoles in the brain’s water molecules could not possibly form a bose condensate august th right after her carpal tunnel surgery you did neither do i but it’s the social convention it’s what we think caused your narcissistic personality disorder we discussed it at length during our last video chat although how we got onto the subject of you is baffling my bad i did send a gift from both of us well i’m not sure about interesting but… very well shall we switch topics to isaac newton v gottfried leibniz isn’t she brilliant leonard how i envy you september nd she was old and blind leonard what choice did we have knock knock knock leonard knock knock knock leonard knock knock knock leonard i made tea i didn’t make tea for you this is my tea it’s a conversation starter oh is it we’re conversing checkmate what i want is to be departing the starship enterprise in a oneman shuttle craft headed to the planetoid i rule known as sheldon alpha five to comfort you of course no that’s not going to work at all i’ll comfort you from over here leonard what you’re experiencing is a classic jungian crisis in which the aging individual mourns the loss of the nevertobe realized ideal family unit that’s not the comforting part no no the comforting part is that the germans have a term for what you’re feeling weltschmerz it means the depression that arises from comparing the world as it is to a hypothetical idealized world well the germans have always been a comforting people just remember leonard where your biological family has failed you you always have me your surrogate family if it’s any consolation i’m not happy about it either good night why is leonard softly banging his head against his bedroom door you’re very welcome i don’t blame you you were intoxicated i blame penny agreed,Sheldon
249,i don’t understand what other kind of women are there detailed analysis posted online it is great isn’t it we have a wonderful evening ahead of us oh yes i just discovered i don’t have enough room on my hard drive for a linux partition so you and i are going to perform a full backup reinitialize and then reinstall all my operating systems all right well i’m going to perform full backup reinitialize and then reinstall all my operating systems well i understand there are several types of artificial women maybe you should look into that i’m sorry raj i have no desire to salute any article of clothing tonight much less one that’s linked to race riots in the s the zoot suit riots i don’t need anything at the galleria do you need anything at the galleria that’s a semantically null sentence well that’s certainly amusing but i have no interest if outside is so good why has mankind spent thousands of years trying to perfect inside let me offer you a compromise sometimes when i feel stifled and want a change of scenery i use my imagination one of my favourite places to visit is the twodimensional world described in edwin abbott’s mathematical fantasy flatland you’re only saying that because you haven’t been there i am now a hexagon in twodimensional space and can only perceive the edges of other objects is that you raj i don’t recognize your edge well you’re in luck there’s a mixer here in flatland oh look there’s a sexually attractive line segment you should chat her up tell her you’re a circle flatland gals are all hot for circles thanks for giving me your limited edition green lantern lantern what if evil strikes and my power ring runs low i don’t drink i would like a root beer float they don’t well apparently these people and i differ greatly on the definition of party and don’t be chintzy with the shirley all right there’s a female but she’s female isn’t that the game oh yes so the point of this exercise is for you to find someone to copulate with thank you and what is my function as wingman okay what is your game when i lie through my teeth to a woman you nod and agree it’s a limited edition green lantern lantern my friend is looking for someone to copulate with i’m sheldon how do you do i thought your father was a gynaecologist i’m sorry smiles and nods hello in brightest day in darkest night no evil shall escape my sight thank you have you chosen one to copulate with we scored i’m the wingman the dog… koira the roof… katto grapes… ryp leet there is a knock on the door one minute sis n it means come in it’s taking forever to load the new operating system on my computer i disinfected the kitchen and the bathroom and now i thought i’d learn finnish i don’t say anything i merely offer you a facial expression that suggests you’ve gone insane yes exactly i had a great time that’s done i’ve moved on to other things for example after i learn finnish i’m not going to learn finnish again raj i highly doubt there is any argument you can make threat you might levy rhetorical strategy plea invocation supplication or… vetoomus that you can employ that would convince me to reconsider oh my i’ve admired these for years hulk agree to second date with puny humans hulk sad you know i had never considered that wow that’s going to completely change my visits there well it’s late time for bed good night puny human he gets up and leaves yes well i suppose come in i’ll sleep in leonard’s room good night,Sheldon
